,Topic,Words,Frequency,Timestamp
703,20,"textile, tanning, cotton, textiles, jeans",3,2014-12-31 14:24:00.000
704,21,"meat, consumers, respondents, artificial, labels",3,2014-12-31 14:24:00.000
705,22,"infectious, icu, recycling, waste, streams",1,2014-12-31 14:24:00.000
706,23,"fibres, composites, fibre, composite, tannin",3,2014-12-31 14:24:00.000
707,24,"learning, deep, dl, layer, ann",1,2014-12-31 14:24:00.000
708,25,"geopolymer, ash, fly, slag, portland",4,2014-12-31 14:24:00.000
709,26,"wine, unsold, grape, vineyard, lightens",2,2014-12-31 14:24:00.000
710,27,"carbonates, epoxides, catalysts, cyclic, organocatalytic",1,2014-12-31 14:24:00.000
711,29,"tree, trees, tcsa, cherry, apple",5,2014-12-31 14:24:00.000
712,30,"cfs, eu, offshoring, chains, freight",1,2014-12-31 14:24:00.000
713,31,"ductile, engineered, cooling, casting, iron",1,2014-12-31 14:24:00.000
714,32,"panels, silicon, modules, si, pv",1,2014-12-31 14:24:00.000
715,34,"rei, fuels, africa, power, renewable",2,2014-12-31 14:24:00.000
716,35,"molasses, biofuels, bioethanol, jatropha, sugarcane",1,2014-12-31 14:24:00.000
717,38,"education, students, programmes, course, educational",3,2014-12-31 14:24:00.000
718,40,"implicit, attitude, fixation, pro, attitudes",2,2014-12-31 14:24:00.000
719,41,"evoo, packaging, supply, bottle, bottles",1,2014-12-31 14:24:00.000
720,43,"wind, wave, offshore, turbine, wecs",3,2014-12-31 14:24:00.000
721,44,"preparing, challenge, tourism, oil, eor",1,2014-12-31 14:24:00.000
722,45,"scheduling, shop, job, tou, factories",4,2014-12-31 14:24:00.000
723,47,"vehicles, trucks, electric, vehicle, rating",2,2014-12-31 14:24:00.000
724,48,"agri, cooking, food, cookware, supply",4,2014-12-31 14:24:00.000
725,49,"fisheries, fishing, seafood, fuel, fish",4,2014-12-31 14:24:00.000
726,52,"steel, carbonation, slag, flux, fluid",1,2014-12-31 14:24:00.000
727,53,"films, plastic, gwp, film, polyolefin",1,2014-12-31 14:24:00.000
728,55,"metrics, updated, nexus, revisiting, decisions",2,2014-12-31 14:24:00.000
729,56,"disclosure, scopes, envelopment, fortune, performance",1,2014-12-31 14:24:00.000
730,57,"ict, movie, reading, games, distribution",4,2014-12-31 14:24:00.000
731,58,"waste, food, wasted, avoidable, wastage",3,2014-12-31 14:24:00.000
732,60,"refuse, fired, slagging, coal, biofuels",1,2014-12-31 14:24:00.000
733,61,"pump, heat, heating, air, source",1,2014-12-31 14:24:00.000
734,62,"electric, station, motorist, switching, charging",1,2014-12-31 14:24:00.000
735,63,"steam, cracker, kiln, algae, gasification",4,2014-12-31 14:24:00.000
736,65,"bioethanol, reforming, steam, hydrogen, sre",1,2014-12-31 14:24:00.000
737,68,"design, product, low, event, metrics",3,2014-12-31 14:24:00.000
738,70,"hotels, hotel, teci, tourism, chalkidiki",2,2014-12-31 14:24:00.000
739,75,"supermarkets, refrigerants, footprint, refrigeration, carbon",1,2014-12-31 14:24:00.000
740,76,"spectators, sport, spectator, events, teams",1,2014-12-31 14:24:00.000
741,80,"iron, enterprise, making, seven, reductive",1,2014-12-31 14:24:00.000
742,85,"laponite, polypyrrole, electrodes, nanodomains, interconnecting",1,2014-12-31 14:24:00.000
743,86,"cement, precalciner, adf, pollutants, combustion",1,2014-12-31 14:24:00.000
744,87,"tpf, shippers, transport, portfolio, modal",1,2014-12-31 14:24:00.000
745,92,"microalgae, ner, fossil, combustion, sources",1,2014-12-31 14:24:00.000
746,96,"truffle, olive, sauce, rules, oil",1,2014-12-31 14:24:00.000
747,97,"green, hr, hrm, innovation, firm",2,2014-12-31 14:24:00.000
748,99,"hourly, grid, electricity, ghg, efs",1,2014-12-31 14:24:00.000
749,105,"rpl, multimedia, iomt, things, internet",1,2014-12-31 14:24:00.000
750,107,"ic, limitation, anammox, nitritation, nob",1,2014-12-31 14:24:00.000
751,112,"reclamation, direct, nitrification, denitrification, water",1,2014-12-31 14:24:00.000
752,115,"decking, hardwood, trailer, gfrp, stiffness",1,2014-12-31 14:24:00.000
753,120,"boreal, reservoir, hydroelectric, upland, hydropower",1,2014-12-31 14:24:00.000
754,122,"starch, cassava, st, vlt, biogas",2,2014-12-31 14:24:00.000
755,123,"software, ict, inn, calculation, impression",1,2014-12-31 14:24:00.000
756,125,"pulp, bleaching, ivory, sequences, coated",3,2014-12-31 14:24:00.000
757,126,"coffee, shrub, tropical, plantations, balance",2,2014-12-31 14:24:00.000
758,128,"ad, biogas, slurry, plants, digestion",1,2014-12-31 14:24:00.000
759,130,"efs, pumping, ef, actual, wdss",1,2014-12-31 14:24:00.000
760,131,"ais, vessels, real, strait, eeoi",1,2014-12-31 14:24:00.000
761,134,"ulo, mcp, jonagold, degrees, pinova",1,2014-12-31 14:24:00.000
762,137,"streamflow, pacific, hydrologic, precipitation, trends",5,2014-12-31 14:24:00.000
763,144,"pipes, sewer, sewerage, pipe, pipeline",1,2014-12-31 14:24:00.000
764,147,"robot, automation, sustainability, product, aspects",1,2014-12-31 14:24:00.000
765,148,"reimagining, shrinking, rail, space, urban",1,2014-12-31 14:24:00.000
766,150,"fog, computing, distributed, proximal, algorithm",1,2014-12-31 14:24:00.000
767,151,"measurement, effectiveness, pmss, performance, contextualizing",1,2014-12-31 14:24:00.000
768,152,"concrete, standart, admixtures, ensures, deviation",1,2014-12-31 14:24:00.000
769,158,"osorio, wind, method, compound, steel",2,2014-12-31 14:24:00.000
770,165,"fish, aquaculture, nutrition, security, fisheries",1,2014-12-31 14:24:00.000
771,-1,"water, co, energy, carbon, footprint",83,2015-07-02 04:48:00.000
772,0,"crop, markers, maize, wheat, orchards",10,2015-07-02 04:48:00.000
773,1,"milk, farm, dairy, farms, beef",8,2015-07-02 04:48:00.000
774,2,"building, buildings, construction, householders, structural",7,2015-07-02 04:48:00.000
775,3,"lsp, chain, supply, network, firms",4,2015-07-02 04:48:00.000
776,4,"generator, cfoe, grid, bes, randomized",2,2015-07-02 04:48:00.000
777,5,"urban, china, cities, embodied, regional",7,2015-07-02 04:48:00.000
778,6,"cloud, slas, virtual, providers, violation",1,2015-07-02 04:48:00.000
779,8,"concrete, pfa, strength, demanding, magnesia",1,2015-07-02 04:48:00.000
780,9,"tourism, farms, leisure, average, hayear",1,2015-07-02 04:48:00.000
781,10,"car, standards, transportation, public, personalized",2,2015-07-02 04:48:00.000
782,11,"floc, fractal, peclet, wastewater, reactors",2,2015-07-02 04:48:00.000
783,12,"biowaste, collection, athens, municipalities, scheme",1,2015-07-02 04:48:00.000
784,13,"household, ecorunner, households, economies, cohabitation",2,2015-07-02 04:48:00.000
785,14,"cellular, networks, wireless, interference, mrs",3,2015-07-02 04:48:00.000
786,15,"abs, lignin, peo, film, polyethylene",2,2015-07-02 04:48:00.000
787,16,"campus, universities, university, student, institutions",4,2015-07-02 04:48:00.000
788,17,"diet, mediterranean, ioa, diets, vegetarian",1,2015-07-02 04:48:00.000
789,19,"road, asphalt, trailers, pavement, roads",4,2015-07-02 04:48:00.000
790,20,"textile, cfp, textiles, cotton, polyester",4,2015-07-02 04:48:00.000
791,21,"consumers, labels, cheese, origin, temuco",2,2015-07-02 04:48:00.000
792,23,"composites, cabin, molded, fiberwall, soy",1,2015-07-02 04:48:00.000
793,25,"geopolymer, foam, lightweight, recycled, densities",1,2015-07-02 04:48:00.000
794,26,"wine, grape, vineyard, napa, lodi",2,2015-07-02 04:48:00.000
795,28,"sesi, lbsi, engine, combustion, ignited",1,2015-07-02 04:48:00.000
796,29,"sawn, night, timber, lighting, wood",5,2015-07-02 04:48:00.000
797,30,"mrio, output, input, material, disaggregation",3,2015-07-02 04:48:00.000
798,33,"cement, pozzolan, csa, expansion, np",3,2015-07-02 04:48:00.000
799,35,"bioethanol, sugarcane, sweet, sorghum, savings",1,2015-07-02 04:48:00.000
800,41,"packaging, fee, pla, trays, producer",2,2015-07-02 04:48:00.000
801,45,"scheduling, optimization, shop, teaching, makespan",1,2015-07-02 04:48:00.000
802,47,"vehicles, evs, electric, vehicle, phevs",1,2015-07-02 04:48:00.000
803,48,"food, turkey, nuts, almond, transformed",2,2015-07-02 04:48:00.000
804,49,"fisheries, fishing, seafood, fuel, fishery",4,2015-07-02 04:48:00.000
805,55,"footprints, planetary, boundaries, security, unburdening",1,2015-07-02 04:48:00.000
806,56,"financial, corporate, performance, term, short",1,2015-07-02 04:48:00.000
807,58,"food, waste, thrown, portuguese, meal",1,2015-07-02 04:48:00.000
808,61,"sgshp, pump, heat, gshp, collectors",1,2015-07-02 04:48:00.000
809,63,"feedstocks, gj, internally, feedstock, pathway",1,2015-07-02 04:48:00.000
810,64,"zno, cds, au, pec, ipce",1,2015-07-02 04:48:00.000
811,68,"product, design, conceptual, low, unascertained",5,2015-07-02 04:48:00.000
812,69,"cutting, mrr, machining, inserts, coating",1,2015-07-02 04:48:00.000
813,70,"hotel, accommodation, tourist, services, pas",1,2015-07-02 04:48:00.000
814,71,"lithium, battery, batteries, lmo, ion",1,2015-07-02 04:48:00.000
815,74,"dialysis, haemodialysis, outpatient, emas, hospital",2,2015-07-02 04:48:00.000
816,75,"refrigerants, rac, refrigerant, gwp, cfps",1,2015-07-02 04:48:00.000
817,80,"tiered, indicator, indicators, sustainability, entrance",1,2015-07-02 04:48:00.000
818,84,"aerosol, deliquescence, crystallization, cooling, cooled",1,2015-07-02 04:48:00.000
819,89,"limassol, port, sea, ports, ecological",1,2015-07-02 04:48:00.000
820,91,"microplatelets, cementitious, reinforcement, magnetically, composites",1,2015-07-02 04:48:00.000
821,95,"vlc, lighting, light, communications, visible",1,2015-07-02 04:48:00.000
822,99,"electricity, losses, transmission, nord, trondelag",1,2015-07-02 04:48:00.000
823,104,"drying, dried, deviation, monthly, pannovy",1,2015-07-02 04:48:00.000
824,108,"optical, dba, sleep, bandwidth, onus",1,2015-07-02 04:48:00.000
825,114,"eio, corporate, nordisk, include, novo",1,2015-07-02 04:48:00.000
826,115,"shear, bolted, joints, connectors, beam",1,2015-07-02 04:48:00.000
827,119,"retailing, online, commerce, shopping, consumer",1,2015-07-02 04:48:00.000
828,120,"hydropower, externalities, lhps, shps, externality",1,2015-07-02 04:48:00.000
829,125,"magazine, supercalendered, paper, lwc, pulp",1,2015-07-02 04:48:00.000
830,126,"pot, components, costs, coffee, assessment",1,2015-07-02 04:48:00.000
831,128,"digestate, spreading, flanders, biogas, digestion",1,2015-07-02 04:48:00.000
832,129,"investment, portfolio, intensity, portfolios, sectoral",1,2015-07-02 04:48:00.000
833,130,"utility, cost, summer, optimization, drinking",1,2015-07-02 04:48:00.000
834,132,"food, footprints, ecological, embedded, waste",1,2015-07-02 04:48:00.000
835,133,"scaffolding, bamboo, steel, construction, predominates",1,2015-07-02 04:48:00.000
836,137,"lake, bosten, salinity, salt, water",1,2015-07-02 04:48:00.000
837,144,"pipeline, underground, pipe, pipelines, pvc",1,2015-07-02 04:48:00.000
838,151,"siting, ningbo, infrastructure, incremental, water",1,2015-07-02 04:48:00.000
839,152,"foundations, concrete, wind, class, turbines",1,2015-07-02 04:48:00.000
840,-1,"energy, footprint, carbon, use, water",177,2015-12-31 19:12:00.000
841,0,"crop, wheat, fruit, fertilizer, orchards",25,2015-12-31 19:12:00.000
842,1,"milk, dairy, farm, beef, farms",34,2015-12-31 19:12:00.000
843,2,"building, buildings, construction, refurbishment, embodied",26,2015-12-31 19:12:00.000
844,3,"chain, supply, logistics, cap, price",18,2015-12-31 19:12:00.000
845,4,"grid, power, microgrid, system, pv",11,2015-12-31 19:12:00.000
846,5,"urban, cities, city, china, las",9,2015-12-31 19:12:00.000
847,6,"cloud, computing, centers, data, center",24,2015-12-31 19:12:00.000
848,7,"handbook, batangas, preface, electronic, footprint",12,2015-12-31 19:12:00.000
849,8,"uhpgc, uhpc, glass, footbridges, concrete",1,2015-12-31 19:12:00.000
850,9,"tourism, tourists, slow, tourist, hotels",5,2015-12-31 19:12:00.000
851,10,"mobility, transport, transit, transportation, travel",14,2015-12-31 19:12:00.000
852,11,"sludge, wastewater, treatment, wwtps, sewage",9,2015-12-31 19:12:00.000
853,12,"waste, landfill, management, incineration, mbt",5,2015-12-31 19:12:00.000
854,13,"household, households, income, consumption, lebanese",7,2015-12-31 19:12:00.000
855,14,"networks, network, mobile, wireless, radio",10,2015-12-31 19:12:00.000
856,15,"biobased, nanocellulose, bionanocomposites, polymers, pce",4,2015-12-31 19:12:00.000
857,16,"campus, university, universities, sustainability, dining",5,2015-12-31 19:12:00.000
858,18,"prescribing, healthcare, care, social, referrals",1,2015-12-31 19:12:00.000
859,19,"pavement, tyre, roads, asphalt, road",5,2015-12-31 19:12:00.000
860,20,"polyester, cloth, sportswear, loom, blended",2,2015-12-31 19:12:00.000
861,21,"labeling, consumers, label, labels, food",6,2015-12-31 19:12:00.000
862,22,"cin, freezing, nucleation, ice, directional",2,2015-12-31 19:12:00.000
863,26,"wine, grapevine, viticulture, balance, montepulciano",3,2015-12-31 19:12:00.000
864,27,"cathode, fe, electrochemical, psfm, perovskite",2,2015-12-31 19:12:00.000
865,28,"droplet, combustion, engine, atomization, fuels",4,2015-12-31 19:12:00.000
866,29,"forest, hwp, wood, afcs, hwps",4,2015-12-31 19:12:00.000
867,30,"trade, tables, eu, output, input",3,2015-12-31 19:12:00.000
868,31,"filter, lbw, laser, riveting, manufacturing",2,2015-12-31 19:12:00.000
869,32,"pv, photovoltaic, solar, silicon, csp",4,2015-12-31 19:12:00.000
870,33,"aluminates, hydration, silicates, nmr, tricalcium",1,2015-12-31 19:12:00.000
871,34,"subsidies, electricity, distributional, australia, households",2,2015-12-31 19:12:00.000
872,35,"sugarcane, sugar, rubber, butanol, intercropping",5,2015-12-31 19:12:00.000
873,36,"stabilized, fa, geopolymer, stabilization, ccr",2,2015-12-31 19:12:00.000
874,38,"students, computing, iuiu, lesson, inquiry",2,2015-12-31 19:12:00.000
875,40,"motivation, personality, relatedness, demarketing, peb",4,2015-12-31 19:12:00.000
876,41,"packaging, food, gpd, prioritization, guidelines",3,2015-12-31 19:12:00.000
877,42,"desalination, seawater, med, osmosis, reverse",3,2015-12-31 19:12:00.000
878,43,"wind, turbines, tall, offshore, small",3,2015-12-31 19:12:00.000
879,45,"scatter, tabu, line, turrets, search",1,2015-12-31 19:12:00.000
880,47,"vehicles, electric, vehicle, counties, prius",2,2015-12-31 19:12:00.000
881,48,"food, ewfn, paste, fruit, nexus",2,2015-12-31 19:12:00.000
882,49,"fishing, seafood, fisheries, pescaenverde, eco",2,2015-12-31 19:12:00.000
883,50,"tissue, sugar, ph, beet, mc",1,2015-12-31 19:12:00.000
884,51,"hydrogen, electrolysis, wind, methane, refining",3,2015-12-31 19:12:00.000
885,52,"rhf, dust, steel, steelmaking, hearth",1,2015-12-31 19:12:00.000
886,53,"recycling, polystyrene, hvf, economical, plastic",2,2015-12-31 19:12:00.000
887,57,"ict, sweden, bbc, broadcasters, pcs",4,2015-12-31 19:12:00.000
888,59,"dispersion, granule, granules, deinking, polymeric",1,2015-12-31 19:12:00.000
889,60,"coke, coking, oven, coal, hydrogen",1,2015-12-31 19:12:00.000
890,61,"heat, pump, heating, pumps, ground",3,2015-12-31 19:12:00.000
891,62,"guadeloupe, electric, vehicles, charging, penetration",1,2015-12-31 19:12:00.000
892,63,"distillation, reactive, hydroconversion, hydropyrolysis, force",2,2015-12-31 19:12:00.000
893,64,"splitting, photoelectrochemical, pec, nanostructures, photocathode",1,2015-12-31 19:12:00.000
894,65,"reforming, sofcs, conversion, methane, methanol",2,2015-12-31 19:12:00.000
895,68,"product, design, semiconductor, manufacturing, lightweight",4,2015-12-31 19:12:00.000
896,70,"hospitality, hotel, hotels, em, guestroom",3,2015-12-31 19:12:00.000
897,71,"battery, secondary, lithium, ion, batteries",1,2015-12-31 19:12:00.000
898,72,"carbonation, test, concrete, crushed, chamber",1,2015-12-31 19:12:00.000
899,73,"cataract, surgery, phacoemulsification, msics, incision",1,2015-12-31 19:12:00.000
900,75,"refrigeration, refrigerant, leakage, refrigerants, temperature",1,2015-12-31 19:12:00.000
901,76,"events, sport, sports, pay, formula",3,2015-12-31 19:12:00.000
902,77,"household, migration, rural, urbanization, settlement",2,2015-12-31 19:12:00.000
903,80,"iso, lca, cfp, organizational, organization",3,2015-12-31 19:12:00.000
904,82,"salmon, lbcc, onp, ras, aquaculture",1,2015-12-31 19:12:00.000
905,84,"cooling, economization, heat, data, center",2,2015-12-31 19:12:00.000
906,86,"singapore, cement, concrete, ecd, dioxide",3,2015-12-31 19:12:00.000
907,87,"tricycle, repositioning, logistics, parcel, mile",4,2015-12-31 19:12:00.000
908,92,"glucose, vulgaris, algal, chlorella, microalgae",2,2015-12-31 19:12:00.000
909,93,"rail, railway, infrastructure, construction, units",1,2015-12-31 19:12:00.000
910,95,"lighting, uhi, street, lamps, led",4,2015-12-31 19:12:00.000
911,96,"olive, plantations, tree, groves, oil",1,2015-12-31 19:12:00.000
912,98,"insulation, insulations, thermal, materials, natural",1,2015-12-31 19:12:00.000
913,99,"hourly, generation, electricity, daily, singapore",1,2015-12-31 19:12:00.000
914,107,"nacl, pn, anammox, tnrr, salinities",1,2015-12-31 19:12:00.000
915,110,"biochar, rice, soil, amendment, cook",4,2015-12-31 19:12:00.000
916,112,"decentralized, wastewater, treatment, onsite, joined",1,2015-12-31 19:12:00.000
917,113,"water, tap, bottled, infrastructure, drinkable",2,2015-12-31 19:12:00.000
918,114,"label, labeling, labels, implementation, standards",2,2015-12-31 19:12:00.000
919,117,"calculators, calculator, users, tools, experiences",2,2015-12-31 19:12:00.000
920,121,"dishes, cfp, school, menus, budget",1,2015-12-31 19:12:00.000
921,123,"memory, cpu, software, icts, gartner",1,2015-12-31 19:12:00.000
922,128,"biogas, digestate, electricity, anaerobic, digestion",1,2015-12-31 19:12:00.000
923,129,"index, priced, investors, benchmark, hedge",1,2015-12-31 19:12:00.000
924,130,"wsn, water, pump, wsps, turbines",2,2015-12-31 19:12:00.000
925,131,"ais, ship, ocean, asm, maritime",1,2015-12-31 19:12:00.000
926,134,"distribution, delivery, tactical, objective, planner",1,2015-12-31 19:12:00.000
927,137,"oscillations, precipitation, reconstructions, oscillation, kstar",1,2015-12-31 19:12:00.000
928,143,"thermoelectric, nws, conversion, synthetically, nanowire",1,2015-12-31 19:12:00.000
929,144,"pipe, pipeline, pccp, pipelines, transmission",1,2015-12-31 19:12:00.000
930,146,"mortar, lime, lowest, formulations, mortars",1,2015-12-31 19:12:00.000
931,148,"geography, planning, urban, applications, reimagining",1,2015-12-31 19:12:00.000
932,150,"fog, dropping, smart, iot, computing",1,2015-12-31 19:12:00.000
933,151,"allowance, coefficient, water, freshwater, value",1,2015-12-31 19:12:00.000
934,153,"lignin, pcfa, kraft, caffeyl, blockers",2,2015-12-31 19:12:00.000
935,154,"insulation, wood, materials, buildings, construction",1,2015-12-31 19:12:00.000
936,155,"metering, smart, inverse, ict, analyse",1,2015-12-31 19:12:00.000
937,161,"uncertainty, resolvable, probabilistic, parameters, refined",1,2015-12-31 19:12:00.000
938,167,"weighting, dea, eco, efficiency, mcdm",1,2015-12-31 19:12:00.000
939,171,"dropout, panelists, participation, pandemic, covid",1,2015-12-31 19:12:00.000
940,-1,"consumption, energy, water, process, footprint",68,2016-07-01 09:36:00.000
941,0,"crop, wheat, tillage, agricultural, yield",12,2016-07-01 09:36:00.000
942,1,"milk, dairy, manure, ch, meat",17,2016-07-01 09:36:00.000
943,2,"building, buildings, bricks, clamps, construction",11,2016-07-01 09:36:00.000
944,3,"chain, supply, routing, tw, problem",7,2016-07-01 09:36:00.000
945,4,"subsidy, lakshadweep, pinch, islands, sources",1,2016-07-01 09:36:00.000
946,5,"cities, city, provinces, china, regions",6,2016-07-01 09:36:00.000
947,6,"cloud, clouds, centers, sla, computing",2,2016-07-01 09:36:00.000
948,7,"evergreen, shrub, container, grown, variable",1,2016-07-01 09:36:00.000
949,8,"cem, recycled, mixes, concrete, durability",1,2016-07-01 09:36:00.000
950,9,"tourism, tourist, alpine, iceland, travel",5,2016-07-01 09:36:00.000
951,10,"fractal, roads, transportation, public, road",2,2016-07-01 09:36:00.000
952,11,"sludge, ab, treatment, wastewater, wastewaters",2,2016-07-01 09:36:00.000
953,13,"household, sharing, intra, solo, lifestyles",1,2016-07-01 09:36:00.000
954,14,"cellular, bs, ee, base, providers",2,2016-07-01 09:36:00.000
955,15,"bc, polyesters, hydrogel, stretching, spi",2,2016-07-01 09:36:00.000
956,16,"university, mancha, castilla, la, multiregional",1,2016-07-01 09:36:00.000
957,17,"apps, dietary, diet, discretionary, ghge",2,2016-07-01 09:36:00.000
958,19,"road, slags, arc, construction, pavement",1,2016-07-01 09:36:00.000
959,20,"textiles, clothing, western, wool, bric",2,2016-07-01 09:36:00.000
960,21,"consumers, labels, meat, pay, preferences",10,2016-07-01 09:36:00.000
961,23,"coir, composites, fibers, fiber, thermoset",1,2016-07-01 09:36:00.000
962,25,"geopolymer, concrete, members, fly, ash",2,2016-07-01 09:36:00.000
963,26,"wine, bottle, vikor, multicriteria, view",3,2016-07-01 09:36:00.000
964,29,"cork, oak, ccfm, biogenic, sector",1,2016-07-01 09:36:00.000
965,30,"mercury, trade, north, economies, pm",4,2016-07-01 09:36:00.000
966,31,"rare, molten, salts, metals, electro",1,2016-07-01 09:36:00.000
967,32,"lcpv, pv, cpv, photovoltaic, hcpv",2,2016-07-01 09:36:00.000
968,33,"hydration, slag, slags, microstructure, cements",1,2016-07-01 09:36:00.000
969,34,"cape, primary, western, economy, province",2,2016-07-01 09:36:00.000
970,36,"boards, phosphate, board, residues, ranged",1,2016-07-01 09:36:00.000
971,39,"ventilation, remote, monitoring, regional, term",1,2016-07-01 09:36:00.000
972,40,"credibility, implicit, attitudes, climate, intentions",2,2016-07-01 09:36:00.000
973,41,"packaging, containers, cardboard, reuses, ml",2,2016-07-01 09:36:00.000
974,43,"wind, ioa, farm, dismantling, regulation",1,2016-07-01 09:36:00.000
975,44,"methanol, attribution, coal, hierarchical, ham",1,2016-07-01 09:36:00.000
976,45,"scheduling, machining, nlpp, therblig, integration",1,2016-07-01 09:36:00.000
977,47,"scooter, trucks, electric, smr, scooters",2,2016-07-01 09:36:00.000
978,49,"fisheries, seafood, fishing, lca, impacts",1,2016-07-01 09:36:00.000
979,50,"lignocellulose, turning, solvent, lower, waste",1,2016-07-01 09:36:00.000
980,54,"pharmacist, delivery, healthcare, role, reducing",1,2016-07-01 09:36:00.000
981,55,"steeped, classification, family, fingerprint, controversy",1,2016-07-01 09:36:00.000
982,56,"disclosure, firms, scope, estate, companies",2,2016-07-01 09:36:00.000
983,58,"hospitality, food, waste, emirates, arab",1,2016-07-01 09:36:00.000
984,60,"gasification, texaco, coal, subbituminous, shell",2,2016-07-01 09:36:00.000
985,63,"cto, chemicals, furfural, pine, derived",2,2016-07-01 09:36:00.000
986,72,"magnesia, cement, portland, carbonation, magnesium",2,2016-07-01 09:36:00.000
987,78,"solar, desalination, scalable, water, graphene",1,2016-07-01 09:36:00.000
988,80,"tanzania, lca, cleaner, pacific, studies",2,2016-07-01 09:36:00.000
989,86,"emergy, cement, kiln, ecological, fuels",1,2016-07-01 09:36:00.000
990,88,"digestion, tech, biomasses, reactors, biomethanation",1,2016-07-01 09:36:00.000
991,90,"rich, fermentation, acetogenic, portfolio, carboxylate",1,2016-07-01 09:36:00.000
992,93,"infrastructure, transport, zogp, rail, costing",1,2016-07-01 09:36:00.000
993,96,"olive, oil, phase, pefcrs, virgin",2,2016-07-01 09:36:00.000
994,99,"overshoot, electricity, purchased, grids, grid",2,2016-07-01 09:36:00.000
995,108,"router, packet, memory, optical, buffer",1,2016-07-01 09:36:00.000
996,112,"potabilization, chemicals, treatment, wt, water",1,2016-07-01 09:36:00.000
997,113,"hydropower, permwh, biogenic, source, dams",1,2016-07-01 09:36:00.000
998,115,"buckling, timber, fencing, hss, structural",2,2016-07-01 09:36:00.000
999,118,"cpko, palm, kernel, crushing, oil",1,2016-07-01 09:36:00.000
1000,119,"shopping, online, situations, store, belief",3,2016-07-01 09:36:00.000
1001,121,"school, menus, lunches, meals, lunch",2,2016-07-01 09:36:00.000
1002,122,"cassava, starch, biogas, fu, factory",1,2016-07-01 09:36:00.000
1003,127,"pcb, waste, metals, recycling, nonmetals",1,2016-07-01 09:36:00.000
1004,128,"biogas, palestine, digestate, anaerobic, digestion",2,2016-07-01 09:36:00.000
1005,143,"thermoelectric, optoelectronics, nanomaterials, scientists, dimensional",1,2016-07-01 09:36:00.000
1006,148,"reimagining, shrinking, rail, space, urban",1,2016-07-01 09:36:00.000
1007,158,"reduction, integration, period, enable, target",1,2016-07-01 09:36:00.000
1008,166,"groundwater, irrigation, punjab, increased, fallen",1,2016-07-01 09:36:00.000
1009,-1,"energy, carbon, water, food, footprint",185,2016-12-31 00:00:00.000
1010,0,"crop, straw, fertilizer, wheat, agricultural",30,2016-12-31 00:00:00.000
1011,1,"milk, dairy, farm, farms, beef",39,2016-12-31 00:00:00.000
1012,2,"building, buildings, construction, residential, glulam",30,2016-12-31 00:00:00.000
1013,3,"chain, supply, logistics, tax, decision",20,2016-12-31 00:00:00.000
1014,4,"grid, power, renewable, stochastic, pv",17,2016-12-31 00:00:00.000
1015,5,"provinces, xinjiang, embodied, cities, china",5,2016-12-31 00:00:00.000
1016,6,"cloud, centers, computing, data, vm",15,2016-12-31 00:00:00.000
1017,7,"california, emerging, response, reduced, water",3,2016-12-31 00:00:00.000
1018,8,"scc, jacket, concrete, columns, retrofitted",3,2016-12-31 00:00:00.000
1019,9,"ethical, tourism, attractions, behaviour, holiday",2,2016-12-31 00:00:00.000
1020,10,"taxi, mobility, cismob, airport, congestion",3,2016-12-31 00:00:00.000
1021,11,"wastewater, sludge, treatment, aerobic, aeration",7,2016-12-31 00:00:00.000
1022,12,"urs, waste, recovery, landfill, msw",4,2016-12-31 00:00:00.000
1023,13,"income, households, household, et, foodprint",6,2016-12-31 00:00:00.000
1024,14,"networks, cellular, network, bss, mobile",12,2016-12-31 00:00:00.000
1025,15,"hydroxyapatite, polyols, retardants, plastics, biodegradable",5,2016-12-31 00:00:00.000
1026,16,"university, campus, education, universities, campuses",7,2016-12-31 00:00:00.000
1027,17,"diet, diets, food, dietary, health",4,2016-12-31 00:00:00.000
1028,19,"asphalt, pavement, mixtures, road, mix",7,2016-12-31 00:00:00.000
1029,20,"silk, textile, drapeability, mulberry, cotton",6,2016-12-31 00:00:00.000
1030,21,"choice, consumer, labels, menu, food",5,2016-12-31 00:00:00.000
1031,23,"composites, fiber, reinforced, fibre, hemp",3,2016-12-31 00:00:00.000
1032,25,"geopolymer, ash, bond, geopolymers, fly",6,2016-12-31 00:00:00.000
1033,26,"wine, wineries, vinegar, pisco, vineyard",4,2016-12-31 00:00:00.000
1034,27,"lewis, lp, functional, hydrogenation, moieties",1,2016-12-31 00:00:00.000
1035,28,"combustion, ignition, premixed, nox, engine",2,2016-12-31 00:00:00.000
1036,29,"rubberwood, plantation, sawmilling, oak, wood",4,2016-12-31 00:00:00.000
1037,30,"mrio, output, border, input, trade",6,2016-12-31 00:00:00.000
1038,31,"casting, additive, manufacturing, alloys, steel",3,2016-12-31 00:00:00.000
1039,32,"pv, psc, silicon, photovoltaic, cells",5,2016-12-31 00:00:00.000
1040,34,"aps, interconnections, islands, greek, obligation",1,2016-12-31 00:00:00.000
1041,36,"stabilization, wfs, rap, cb, soil",3,2016-12-31 00:00:00.000
1042,37,"conferencing, conference, virtual, conservation, conferences",1,2016-12-31 00:00:00.000
1043,38,"students, education, learning, behaviour, schools",5,2016-12-31 00:00:00.000
1044,40,"continuance, intention, pro, cfc, behavior",2,2016-12-31 00:00:00.000
1045,41,"packaging, corrugated, board, packages, food",2,2016-12-31 00:00:00.000
